transaction_id,timestamp,user_id,amount,currency,merchant_id,is_fraud
1,2024-10-10 08:30:00,12345,250.00,USD,merchant_001,0
2,2024-10-10 08:32:00,12346,5000.00,USD,merchant_002,1
3,2024-10-10 08:35:00,12347,300.00,USD,merchant_001,0
4,2024-10-10 08:40:00,12345,750.00,USD,merchant_003,0
5,2024-10-10 08:45:00,12348,250.00,EUR,merchant_004,1
6,2024-10-10 08:50:00,12349,1000.00,USD,merchant_002,0
7,2024-10-10 08:55:00,12350,200.00,USD,merchant_001,0
8,2024-10-10 09:00:00,12345,500.00,USD,merchant_005,1
9,2024-10-10 09:05:00,12346,3500.00,USD,merchant_006,0
10,2024-10-10 09:10:00,12351,400.00,USD,merchant_001,0
11,2024-10-10 09:15:00,12352,8000.00,EUR,merchant_007,1
12,2024-10-10 09:20:00,12353,150.00,USD,merchant_002,0
13,2024-10-10 09:25:00,12354,600.00,USD,merchant_001,0
14,2024-10-10 09:30:00,12355,500.00,JPY,merchant_004,1
15,2024-10-10 09:35:00,12356,10000.00,USD,merchant_005,1
16,2024-10-10 09:40:00,12357,450.00,USD,merchant_006,0
17,2024-10-10 09:45:00,12358,1500.00,USD,merchant_007,0
18,2024-10-10 09:50:00,12359,600.00,EUR,merchant_001,1
19,2024-10-10 09:55:00,12360,250.00,USD,merchant_002,0
20,2024-10-10 10:00:00,12361,7500.00,USD,merchant_003,1
